code,name,cname,category,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
RDS.A,Royal Dutch Shell Plc,荷兰皇家壳牌石油公司,,59.74,0.76,1.29,58.98,59.46,59.77,59.24,0.90%,3084846,248366032906,11.8767394,NYSE,710.0
MRK,"Merck & Co., Inc.",默沙东集团,生物技术和制药,92.04,1.09,1.2,90.95,91.08,92.14,90.36,1.95%,7877027,246565990307,25.49584587,NYSE,700.0
WFC,Wells Fargo & Co.,富国银行,银行,53.75,-0.05,-0.09,53.8,53.85,54.03,53.51,0.98%,16806063,244132500000,11.53433514,NYSE,61.0
RDS.B,Royal Dutch Shell Plc,荷兰皇家壳牌石油公司,,60.68,0.71,1.18,59.97,60.37,60.69,60.12,0.95%,1557339,242705256119,12.06361785,NYSE,
KO,The Coca-Cola Co.,可口可乐公司,饮料,54.99,-0.36,-0.65,55.35,55.32,55.43,54.76,1.21%,11099117,234188228167,30.38121736,NYSE,74.0
CVX,Chevron Corp.,雪佛龙公司,油气,121.43,0.92,0.76,120.51,120.81,121.62,120.77,0.71%,5206097,231466939910,17.29772089,NYSE,76.0
LYG,Lloyds Banking Group Plc,劳埃德银行,银行,3.34,0.03,0.91,3.31,3.32,3.36,3.31,1.51%,9776665,230959209638,15.90476199,NYSE,61.0
BND,Vanguard Total Bond Market ETF,债券指数ETF-Vanguard美国,股权,83.97,0.11,0.13,83.86,83.98,84.11,83.93,0.21%,5511031,227108893276,,NYSE,145.0
DIS,The Walt Disney Co.,沃特迪士尼公司,媒体内容,148.2,3.57,2.47,144.63,145.29,148.2,145.1,2.14%,9504711,221524247314,21.17142814,NYSE,702.0
NVS,Novartis AG,诺华公司,生物技术和制药,94.95,0.26,0.27,94.69,94.69,95.47,94.5,1.02%,1212954,219052825219,18.50877092,NYSE,700.0
PFE,Pfizer Inc.,辉瑞制药公司,制药,39.14,-0.04,-0.1,39.18,39.3,39.35,38.88,1.21%,15668508,216444723389,13.45017121,NYSE,10.0
CSCO,"Cisco Systems, Inc.",思科系统公司,电信,48.42,0.81,1.7,47.61,48.06,48.42,47.88,1.13%,16710076,212902737389,19.06299169,NASDAQ,30.0
CMCSA,Comcast Corp.,康卡斯特公司,媒体,45.37,0.4,0.89,44.97,45.36,45.4,44.93,1.05%,20171168,207429674264,16.61904711,NASDAQ,79.0
PEP,"PepsiCo, Inc.",百事可乐公司,饮料,135.82,-0.85,-0.62,136.67,136.87,137.23,135.14,1.53%,3596407,192451868444,15.39909433,NYSE,74.0
BA,The Boeing Co.,波音公司,航空航天/国防,333.32,7.56,2.32,325.76,328.55,333.35,327.7,1.73%,4548221,191470117950,50.12330865,NYSE,60.0
C,"Citigroup, Inc.",花旗集团,银行,81.23,1.34,1.68,79.89,80.13,81.26,80.03,1.54%,12734566,189540000000,10.74470952,NYSE,61.0
ORCL,Oracle Corp.,甲骨文公司,软件,53.95,0.97,1.83,52.98,53.27,53.96,53.23,1.38%,13206090,183307343651,16.65123475,NYSE,14.0
CHL,China Mobile Ltd.,中国移动通信集团公司,,42.44,0.17,0.4,42.27,42.26,42.45,42.06,0.92%,1182643,173386849809,10.6901759,NYSE,697.0
UN,Unilever NV,联合利华,,57.38,-0.08,-0.14,57.46,57.52,57.62,57.25,0.64%,810128,171991174382,29.27551018,NYSE,761.0
NKE,"NIKE, Inc.",耐克公司,,102.2,0.89,0.88,101.31,101.36,102.21,101.02,1.18%,5644162,171268641370,34.99999804,NYSE,686.0
UL,Unilever Plc,联合利华PLC,食品,57.02,-0.15,-0.26,57.17,57.13,57.32,56.88,0.76%,738052,170926806868,29.0918364,NYSE,18.0
ADBE,"Adobe, Inc.",Adobe,软件,334.43,4.62,1.4,329.81,330.0,334.48,329.17,1.61%,1990496,163977741829,55.09554913,NASDAQ,14.0
SAP,SAP SE,SAP,软件,136.81,2.82,2.1,133.99,135.42,137.14,135.4,1.30%,2967539,162861592712,42.7531236,NYSE,14.0
BUD,Anheuser-Busch InBev SA/NV,百威英博公司,饮料,83.45,1.41,1.72,82.04,82.76,83.54,82.71,1.01%,920521,161212571643,24.91044756,NYSE,74.0
AMGN,"Amgen, Inc.",安进公司,生物技术,240.1,-0.97,-0.4,241.07,243.0,243.19,238.98,1.75%,1901323,158326393619,18.31426487,NASDAQ,39.0
HSBC,HSBC Holdings Plc,汇丰控股公司,银行,39.37,0.28,0.72,39.09,39.14,39.37,39.08,0.74%,2046887,155726246977,12.11384583,NYSE,61.0
MDT,Medtronic Plc,美敦力公司,,114.56,1.11,0.98,113.45,114.46,114.91,113.1,1.60%,3916983,154949853582,32.91953935,NYSE,738.0
MCD,McDonald's Corp.,麦当劳公司,零售,200.79,3.18,1.61,197.61,198.0,200.8,197.81,1.51%,3554837,153061201401,26.07662315,NYSE,52.0
ABT,Abbott Laboratories,雅培公司,,86.95,0.09,0.1,86.86,86.06,86.96,85.8,1.34%,4398598,152141827448,46.74730983,NYSE,738.0
BMY,Bristol-Myers Squibb Co.,百时美施贵宝公司,制药,63.34,-0.4,-0.63,63.74,63.85,64.0,63.13,1.36%,12417206,148574759760,18.20114937,NYSE,10.0
NVDA,NVIDIA Corp.,英伟达公司,半导体,239.91,4.61,1.96,235.3,238.75,239.91,236.72,1.36%,5941969,147535083008,60.58333367,NASDAQ,12.0
BHP,BHP Group Ltd.,必和必拓,,54.92,0.21,0.38,54.71,55.22,55.27,54.77,0.90%,1070019,145916191281,59.05376102,NYSE,747.0
LLY,Eli Lilly & Co.,礼来公司,生物技术和制药,132.21,0.78,0.59,131.43,131.77,132.26,130.73,1.16%,1927249,145604918722,29.71011514,NYSE,700.0
NFLX,"Netflix, Inc.",奈飞公司,,329.81,6.24,1.93,323.57,326.1,329.98,324.78,1.61%,4348493,143096587098,101.79320882,NASDAQ,712.0
TOT,Total SA,道达尔公司,,55.27,0.7,1.29,54.57,55.14,55.28,54.83,0.82%,1165684,136538776233,14.69946824,NYSE,710.0
ACN,Accenture Plc,埃森哲公司,,210.15,-0.42,-0.2,210.57,210.86,211.92,208.81,1.48%,2221991,133539642849,27.54259381,NYSE,750.0
UNP,Union Pacific Corp.,联合太平洋公司,运输,182.27,1.48,0.82,180.79,180.95,182.38,179.97,1.33%,2320912,133446527900,21.39319184,NASDAQ,34.0
HON,"Honeywell International, Inc.",霍尼韦尔国际公司,电子,180.79,3.79,2.14,177.0,177.5,180.8,177.14,2.07%,2857534,133177861191,20.85236352,NYSE,49.0
PM,"Philip Morris International, Inc.",菲利普莫里斯国际公司,农业,85.19,0.1,0.12,85.09,85.51,86.17,84.76,1.66%,4918055,132199899664,17.74791647,NYSE,159.0
ABBV,"AbbVie, Inc.",艾伯维公司,生物技术和制药,89.55,1.01,1.14,88.54,89.08,89.57,88.51,1.20%,5162530,132179879547,41.07798179,NYSE,700.0
UTX,United Technologies Corp.,联合技术公司,航空航天/国防,153.14,3.38,2.26,149.76,149.74,153.22,149.74,2.32%,2801472,131108947683,25.60869547,NYSE,60.0
TMO,"Thermo Fisher Scientific, Inc.",赛默飞世尔科技公司,,326.37,1.5,0.46,324.87,326.0,326.94,322.57,1.35%,1151951,130998352246,36.42522251,NYSE,738.0
PYPL,"PayPal Holdings, Inc.",PayPal,,110.75,2.58,2.39,108.17,109.47,111.21,109.28,1.79%,7419283,130451717484,51.27314611,NASDAQ,
SNY,Sanofi,赛诺菲-安万特公司,制药,50.68,0.48,0.96,50.2,50.58,50.76,50.38,0.76%,1271795,130041996078,27.24731178,NYSE,10.0
COST,Costco Wholesale Corp.,开市客公司,,291.49,-2.43,-0.83,293.92,294.06,294.58,291.0,1.22%,2052922,128344260264,34.37382146,NASDAQ,822.0
AZN,AstraZeneca Plc,阿斯利康公司,制药,50.39,0.53,1.06,49.86,50.3,50.49,50.13,0.72%,3587263,127776948067,62.9874983,NYSE,10.0
CRM,"salesforce.com, inc.",赛富时公司,软件,166.99,4.35,2.67,162.64,163.92,167.07,163.58,2.15%,5094557,127230976868,172.15463976,NYSE,14.0
VTI,Vanguard Total Stock Market Index Fund,大盘指数ETF-Vanguard MSCI,股权,164.98,1.36,0.83,163.62,164.68,164.98,163.78,0.73%,3291465,127053957940,6.86272835,NYSE,145.0
BNDX,Vanguard Total International Bond Index Fund,Vanguard国际全债市指数ETF,股权,56.73,0.15,0.27,56.58,56.66,56.73,56.65,0.14%,2593502,126415107168,,NASDAQ,145.0
TXN,Texas Instruments Incorporated,德州仪器公司,半导体,129.57,1.28,1.0,128.29,129.13,129.61,127.77,1.43%,4307006,123457839417,23.68738799,NASDAQ,12.0
BP,BP Plc,英国石油公司,,38.14,0.4,1.06,37.74,38.04,38.15,37.87,0.74%,6565969,123217306245,26.67132922,NYSE,710.0
IBM,International Business Machines Corp.,IBM(国际商业机器有限公司),,135.42,1.38,1.03,134.04,135.0,135.92,134.77,0.86%,3148833,120261250000,15.63741346,NYSE,750.0
AVGO,"Broadcom, Inc.",博通,半导体,322.39,6.37,2.02,316.02,319.32,322.5,317.32,1.64%,1966411,117841020447,47.62038635,NASDAQ,12.0
NVO,Novo Nordisk A/S,诺和诺德公司,制药,58.36,0.48,0.83,57.88,58.31,58.4,58.01,0.67%,1112357,117302059293,23.82040795,NYSE,10.0
VO,Vanguard Mid-Cap Index Fund,领航 中盘股 ETF,股权,178.82,0.64,0.36,178.18,179.14,179.3,177.63,0.94%,663285,116976695001,6.25682323,NYSE,145.0
LIN,Linde Plc,Linde Plc,媒体内容,210.74,-2.16,-1.01,212.9,213.58,214.45,210.46,1.87%,2309178,115872765416,21.54805841,NYSE,702.0
VEA,Vanguard FTSE Developed Markets ETF,EAFE指数ETF-Vanguard MSCI,股权,44.42,0.36,0.82,44.06,44.35,44.44,44.25,0.43%,8229160,115545242515,,NYSE,145.0
GSK,GlaxoSmithKline Plc,葛兰素史克公司,生物技术和制药,46.92,-0.07,-0.15,46.99,46.81,46.99,46.67,0.68%,2462245,114969995995,19.96595748,NYSE,700.0
RY,Royal Bank of Canada,加拿大皇家银行,银行,79.7,0.5,0.63,79.2,79.34,79.78,79.18,0.76%,740426,114743821500,12.07575729,NYSE,61.0
NEE,"NextEra Energy, Inc.",新纪元能源公司,电力,238.62,-3.54,-1.46,242.16,241.97,243.68,237.95,2.37%,1818106,113734835461,35.61492566,NYSE,21.0
LMT,Lockheed Martin Corp.,洛克希德马丁公司,,399.37,9.99,2.57,389.38,392.86,399.37,390.95,2.16%,1149985,112774699030,18.84709698,NYSE,785.0
DHR,Danaher Corp.,丹纳赫公司,,155.11,1.63,1.06,153.48,153.96,155.24,153.13,1.37%,2376642,112355975408,45.48680255,NYSE,738.0
SBUX,Starbucks Corp.,星巴克公司,零售,89.35,1.43,1.63,87.92,88.12,89.35,88.05,1.48%,6475843,111354953114,30.18580991,NASDAQ,52.0
CHTR,"Charter Communications, Inc.",特许通讯公司,媒体内容,490.43,5.35,1.1,485.08,487.41,491.41,480.49,2.25%,1326760,107940622332,87.26512503,NASDAQ,702.0
MMM,3M Co.,明尼苏达矿业制造公司,,180.0,3.58,2.03,176.42,177.68,180.01,177.14,1.63%,3448335,104257891068,21.02803635,NYSE,736.0
TD,The Toronto-Dominion Bank,道明银行,银行,56.54,0.41,0.73,56.13,56.26,56.57,56.15,0.75%,1002369,103071078999,12.00424638,NYSE,61.0
AXP,American Express Co.,美国运通公司,多元化金融服务,125.85,1.79,1.44,124.06,124.66,126.27,124.23,1.64%,2707979,102954856719,15.18094078,NYSE,56.0
GE,General Electric Co.,通用电气公司,多元化制造商,11.93,0.77,6.9,11.16,11.23,11.96,11.23,6.50%,87533889,102575534225,397.66668573,NYSE,58.0
UPS,"United Parcel Service, Inc.",联合包裹服务公司,运输,116.79,-0.27,-0.23,117.06,117.68,117.97,115.23,2.34%,4112522,102372069563,20.20588178,NYSE,34.0
PBR,Petr贸leo Brasileiro SA,巴西石油公司,油气,16.27,0.33,2.07,15.94,16.04,16.28,15.98,1.88%,13769827,102253549519,12.14179108,NYSE,76.0
AMT,American Tower Corp.,美国电塔,,228.5,-1.32,-0.57,229.82,229.68,231.15,228.0,1.37%,1425971,101925423803,62.94765642,NYSE,729.0
QCOM,"QUALCOMM, Inc.",高通公司,半导体,88.69,0.46,0.52,88.23,89.05,89.81,88.08,1.96%,8416991,101189857556,24.50000145,NASDAQ,12.0
VUG,Vanguard Growth Index Fund,成长股指数ETF-Vanguard MSCI,股权,184.79,2.62,1.44,182.17,183.57,184.79,183.09,0.93%,1035854,99679965050,7.6612764,NYSE,145.0
PBR.A,Petr贸leo Brasileiro SA,巴西石油公司,,15.26,0.34,2.28,14.92,15.06,15.26,15.05,1.41%,4358965,99333864514,11.38805959,NYSE,
RIO,Rio Tinto Plc,力拓公司,采矿,59.89,0.53,0.89,59.36,59.67,60.02,59.5,0.88%,1811523,98288908662,23.48627471,NYSE,2.0
CVS,CVS Health Corp.,CVS健保公司,,74.16,-0.13,-0.17,74.29,74.65,74.7,73.53,1.57%,5022906,96178677535,21.8761066,NYSE,822.0
VB,Vanguard Small-Cap ETF,小型股指数ETF-Vanguard MSCI,股权,165.93,0.29,0.18,165.64,166.5,166.57,164.51,1.24%,779055,95042686790,6.97771185,NYSE,145.0
USB,U.S. Bancorp,美国合众银行,银行,59.2,-0.09,-0.15,59.29,59.47,59.48,59.01,0.79%,4504244,92407448212,13.60919588,NYSE,61.0
LOW,"Lowe's Cos., Inc.",劳氏公司,零售,120.46,0.7,0.58,119.76,120.05,120.46,119.26,1.00%,2788927,91885022333,31.86772487,NYSE,52.0
MO,"Altria Group, Inc.",奥驰亚集团公司,农业,49.25,-0.66,-1.32,49.91,50.19,50.34,49.05,2.58%,8504330,91790566380,51.84210591,NYSE,159.0
BTI,British American Tobacco plc,英美烟草公司,农业,42.87,0.41,0.97,42.46,42.94,42.99,42.72,0.64%,1449563,91151461945,13.82903234,NYSE,159.0
VWO,Vanguard FTSE Emerging Markets ETF,新兴市场ETF-Vanguard MSCI,股权,45.53,1.06,2.38,44.47,45.07,45.53,45.02,1.15%,13427530,89090933398,29.18589772,NYSE,145.0
ITUB,Ita煤 Unibanco Holding SA,艾涛巴西联合银行,银行,9.38,0.23,2.55,9.15,9.21,9.4,9.2,2.30%,10590492,85869370278,13.59420311,NYSE,61.0
FIS,"Fidelity National Information Services, Inc.",繁德信息技术,,139.9,0.81,0.58,139.09,139.87,140.84,139.2,1.18%,3002301,85822737341,65.06976172,NYSE,726.0
SNE,Sony Corp.,索尼,计算机硬件,69.06,1.06,1.56,68.0,68.3,69.06,68.28,1.15%,856836,84372195054,11.22926772,NYSE,681.0
MS,Morgan Stanley,摩根士丹利,,52.04,0.92,1.8,51.12,51.2,52.06,51.17,1.74%,7440294,84063607921,10.95578967,NYSE,695.0
GS,"The Goldman Sachs Group, Inc.",高盛集团,,234.32,4.39,1.91,229.93,231.0,234.64,230.16,1.95%,3737791,82999764209,10.37732543,NYSE,695.0
GILD,"Gilead Sciences, Inc.",吉利德科学公司,生物技术和制药,65.23,0.25,0.38,64.98,65.53,65.74,65.04,1.08%,4653342,82513085457,30.91469507,NASDAQ,700.0
CAT,"Caterpillar, Inc.",卡特彼勒公司,,150.53,2.85,1.93,147.68,149.0,150.55,147.98,1.74%,3311940,82439986583,14.16086521,NYSE,774.0
ENB,"Enbridge, Inc.",安桥公司,,39.71,-0.06,-0.15,39.77,39.8,39.97,39.55,1.04%,2094170,79753992397,18.81990572,NYSE,710.0
SYK,Stryker Corp.,史赛克公司,医疗保健产品,210.45,0.51,0.24,209.94,210.94,211.0,208.21,1.33%,992036,78759336547,22.97489088,NYSE,63.0
FISV,"Fiserv, Inc.",费哲公司,软件,115.52,-0.11,-0.1,115.63,116.0,116.34,115.02,1.14%,4991801,78582262918,52.50908825,NASDAQ,14.0
MDLZ,"Mondelez International, Inc.",亿滋国际公司,,54.33,-0.75,-1.36,55.08,55.06,55.35,54.11,2.25%,7272946,78139040145,19.82846775,NASDAQ,761.0
TSLA,"Tesla, Inc.",特斯拉,汽车制造,430.26,11.93,2.85,418.33,424.5,430.7,421.71,2.15%,9558386,77508052875,-90.39075401,NASDAQ,155.0
CI,Cigna Corp.,信诺,健康护理服务,204.94,0.45,0.22,204.49,205.39,205.85,202.09,1.84%,1372557,77429411723,17.82086978,NYSE,95.0
ANTM,"Anthem, Inc.","Anthem, Inc.",,300.87,-1.16,-0.38,302.03,302.67,302.82,297.2,1.86%,1186195,76026091615,17.96238777,NYSE,
EL,"The Est茅e Lauder Companies, Inc.",雅诗兰黛公司,化妆品/护理,206.26,-0.28,-0.14,206.54,206.54,207.86,205.81,0.99%,1115697,75699175871,39.74180968,NYSE,54.0
TFC,Truist Financial Corp.,Truist Financial Corp.,,56.67,0.35,0.62,56.32,56.41,56.68,55.88,1.42%,5136000,75671701390,14.09701454,NYSE,
TJX,"The TJX Cos., Inc.",TJX公司,零售,61.7,0.64,1.05,61.06,61.33,61.7,61.06,1.05%,5190551,75638386505,23.91472969,NYSE,52.0
ABEV,Ambev SA,安贝夫集团,,4.73,0.07,1.5,4.66,4.67,4.73,4.67,1.29%,10162680,74070849909,26.27777684,NYSE,
BDX,"Becton, Dickinson & Co.",碧迪公司,医疗保健产品,272.54,0.57,0.21,271.97,272.09,273.45,269.87,1.32%,1596555,73680842726,68.82323382,NYSE,63.0
ADP,"Automatic Data Processing, Inc.",自动数据处理公司,商业服务,170.32,-0.18,-0.11,170.5,171.96,172.0,169.2,1.64%,1364626,73567312408,31.13711405,NASDAQ,16.0
BBD,Banco Bradesco SA,巴西布拉德斯科银行,银行,9.23,0.28,3.13,8.95,9.02,9.26,9.0,2.85%,10222799,72321404616,13.18571386,NYSE,61.0
CME,"CME Group, Inc.",美国芝加哥商品交易所集团,,201.85,1.13,0.56,200.72,201.11,202.05,200.58,0.73%,1464894,72235434508,35.35026353,NASDAQ,695.0
SAN,Banco Santander SA,桑坦德银行,银行,4.32,0.18,4.35,4.14,4.28,4.32,4.24,1.83%,8285840,72034024671,9.19148975,NYSE,61.0
IEFA,iShares Core MSCI EAFE ETF,iShares 核心MSCI欧澳远东 ETF,股权,65.93,0.69,1.06,65.24,65.78,65.93,65.64,0.44%,10522922,72017811013,,NASDAQ,145.0
COP,ConocoPhillips,康菲石油公司,油气,65.46,0.43,0.66,65.03,65.28,65.68,64.85,1.28%,4123124,71454223004,8.85791614,NYSE,76.0
CB,Chubb Ltd.,安达保险公司,保险,156.02,0.36,0.23,155.66,155.85,156.02,154.36,1.07%,1841050,70536359937,19.60050296,NYSE,25.0
VALE,Vale SA,淡水河谷公司,钢铁,13.45,0.25,1.89,13.2,13.31,13.47,13.29,1.36%,19410396,70457441401,18.94366228,NYSE,46.0
PNC,"The PNC Financial Services Group, Inc.",PNC金融服务集团,银行,160.37,0.74,0.46,159.63,159.75,160.37,158.9,0.92%,1880354,70129106316,14.28049881,NYSE,61.0
INTU,"Intuit, Inc.",财捷集团,软件,266.16,4.23,1.61,261.93,261.08,266.6,261.08,2.11%,1124553,69006084483,43.77631694,NASDAQ,14.0
BNS,The Bank of Nova Scotia,加拿大丰业银行,银行,56.72,0.23,0.41,56.49,56.6,56.78,56.51,0.48%,738096,68639071709,11.23168299,NYSE,61.0
D,"Dominion Energy, Inc.",道明尼资源公司,,81.96,-0.86,-1.04,82.82,82.88,82.94,81.51,1.73%,2766731,67919968942,59.82481664,NYSE,911.0
SPGI,"S&P Global, Inc.",标普全球,,277.84,4.79,1.75,273.05,274.57,277.9,273.72,1.53%,1092326,67708574210,32.72555993,NYSE,
AGG,iShares Core U.S. Aggregate Bond ETF,债券指数ETF-iShares Barclays综合国债,股权,112.68,0.31,0.28,112.37,112.68,112.8,112.56,0.21%,6791537,67305911439,-37.31125861,NYSE,145.0
TMUS,"T-Mobile US, Inc.","T-Mobile US, Inc.",,78.59,0.17,0.22,78.42,78.88,78.89,77.93,1.22%,3392698,67171191545,19.94669929,NYSE,697.0
EQNR,Equinor ASA,Equinor ASA,,20.43,0.52,2.61,19.91,20.27,20.43,20.16,1.36%,2080576,67162931311,12.53374256,NYSE,
DUK,Duke Energy Corp.,杜克能源公司,电力,90.34,-0.87,-0.95,91.21,91.28,91.78,90.03,1.92%,3809879,65755134189,18.70393328,NYSE,21.0
SO,The Southern Co.,美国南方公司,电力,62.62,-1.08,-1.7,63.7,63.65,63.67,62.42,1.96%,4344982,65671471542,14.23181763,NYSE,21.0
VMW,"VMware, Inc.",威睿公司,软件,155.64,3.85,2.54,151.79,153.74,155.71,152.62,2.04%,1095724,63781003402,9.73358359,NYSE,14.0
ZTS,"Zoetis, Inc.","Zoetis, Inc.",,134.14,1.79,1.35,132.35,132.05,134.28,131.48,2.12%,1563970,63762149356,43.98032836,NYSE,
TGT,Target Corp.,塔吉特公司,零售,126.07,-2.14,-1.67,128.21,128.74,128.9,125.26,2.84%,5152676,63630967196,19.97939791,NYSE,52.0
BSX,Boston Scientific Corp.,波士顿科学,,45.33,0.11,0.24,45.22,45.5,45.59,44.94,1.45%,5761064,63126112156,57.37974759,NYSE,738.0
AGN,Allergan Plc,艾尔建制药公司,生物技术和制药,192.24,1.07,0.56,191.17,191.84,192.24,190.99,0.65%,1552280,62865043776,-6.9026931,NYSE,700.0
RTN,Raytheon Co.,雷神公司,航空航天/国防,224.48,4.74,2.16,219.74,220.14,224.51,219.75,2.17%,1090701,62142313850,19.18632473,NYSE,60.0
SCHW,The Charles Schwab Corp.,嘉信理财公司,多元化金融服务,48.23,0.67,1.41,47.56,47.76,48.38,47.55,1.75%,5645779,61865373086,17.73161729,NYSE,56.0
TAK,"Takeda Pharmaceutical Co., Ltd.","Takeda Pharmaceutical Co., Ltd.",,19.92,0.19,0.96,19.73,19.82,19.92,19.81,0.56%,646067,61857898102,132.79999523,NYSE,
EPD,Enterprise Products Partners LP,Enterprise Products Partners LP,,28.13,-0.03,-0.11,28.16,28.2,28.37,27.96,1.46%,4088983,61679859981,12.9631328,NYSE,710.0
MU,"Micron Technology, Inc.",美光科技公司,半导体,55.39,1.61,2.99,53.78,54.85,55.49,54.51,1.82%,20184045,61330911657,17.47318551,NASDAQ,12.0
NOC,Northrop Grumman Corp.,诺斯洛普&#8226;格鲁门公司,航空航天/国防,355.7,11.73,3.41,343.97,344.44,355.7,343.62,3.51%,874958,59519956972,18.25038565,NYSE,60.0
CCI,Crown Castle International Corp.,冠城国际,电信,141.68,-0.47,-0.33,142.15,142.33,142.66,141.13,1.08%,1795533,58781278053,71.19597588,NYSE,30.0
CL,Colgate-Palmolive Co.,高露洁棕榄有限公司,,68.12,-0.72,-1.05,68.84,68.84,68.94,67.89,1.53%,3208595,58407543774,25.2296302,NYSE,761.0
IEMG,iShares Core MSCI Emerging Markets ETF,iShares 核心MSCI新兴市场 ETF,股权,54.87,1.11,2.06,53.76,54.35,54.87,54.35,0.97%,17375085,58241967121,,NASDAQ,145.0
ITW,"Illinois Tool Works, Inc.",伊利诺工具集团,,181.68,2.05,1.14,179.63,180.15,181.7,178.98,1.51%,1129686,57933436186,23.81126998,NYSE,774.0
HDB,HDFC Bank Ltd.,HDFC银行,银行,63.7,0.33,0.52,63.37,63.86,64.19,63.3,1.41%,1115663,57830518753,65.67010194,NYSE,61.0
BAM,"Brookfield Asset Management, Inc.",布鲁克菲尔德资产管理,,57.87,0.07,0.12,57.8,57.9,58.16,57.5,1.14%,1688130,57699187681,14.99222811,NYSE,708.0
NOW,"ServiceNow, Inc.",现在服务公司,软件,291.24,8.92,3.16,282.32,284.96,291.68,284.22,2.64%,1771770,57391608812,1532.8420731,NYSE,14.0
AMD,"Advanced Micro Devices, Inc.",美国超微公司,半导体,49.1,3.24,7.06,45.86,46.86,49.25,46.63,5.71%,80764599,57349818744,245.49998871,NYSE,12.0
